CONFORMED-NAME	SIC	CIK	YEAR
ENGINEERED SUPPORT SYSTEMS INC-06	3585	772891	2006
DAUPHIN TECHNOLOGY INC-06	3570	832489	2006
STEELCLOUD INC-06	3571	1058027	2006
MEGADATA CORP-06	3576	225628	2006
COPYTELE INC-06	3577	715446	2006
STARTECH ENVIRONMENTAL CORP-06	3590	875762	2006
BLACK & DECKER CORP-06	3540	12355	2006
TEREX CORP-06	3537	97216	2006
FLANDERS CORP-06	3564	799526	2006
GRACO INC-06	3561	42888	2006
CUMMINS INC-06	3510	26172	2006
INTERNATIONAL BUSINESS MACHINES CORP-06	3570	51143	2006
MANITOWOC CO INC-06	3531	61986	2006
ZEBRA TECHNOLOGIES CORP/DE-06	3560	877212	2006
BAKER HUGHES INC-06	3533	808362	2006
VEECO INSTRUMENTS INC-06	3559	103145	2006
BOUNDLESS CORP-06	3575	837472	2006
TENNANT CO-06	3580	97134	2006
GEHL CO-06	3523	856386	2006
COOPER CAMERON CORP-06	3533	941548	2006
NATIONAL OILWELL VARCO INC-06	3533	1021860	2006
AVOCENT CORP-06	3577	1109808	2006
IDEX CORP /DE/-06	3561	832101	2006
JUNIPER NETWORKS INC-06	3576	1043604	2006
ULTRATECH INC-06	3559	909791	2006
FUEL TECH N V-06	3564	846913	2006
SAUER DANFOSS INC-06	3590	865754	2006
GORMAN RUPP CO-06	3561	42682	2006
ITT INDUSTRIES INC-06	3561	216228	2006
SOCKET COMMUNICATIONS INC-06	3571	944075	2006
PITNEY BOWES INC /DE/-06	3579	78814	2006
HYDRIL CO-06	3533	1116030	2006
TIMKEN CO-06	3562	98362	2006
STRATASYS INC-06	3577	915735	2006
AXCELIS TECHNOLOGIES INC-06	3559	1113232	2006
NEWPARK RESOURCES INC-06	3533	71829	2006
DIEBOLD INC-06	3578	28823	2006
ECHELON CORP-06	3576	31347	2006
CYMER INC-06	3559	897067	2006
TECUMSEH PRODUCTS CO-06	3585	96831	2006
EXABYTE CORP /DE/-06	3572	855109	2006
DELL INC-06	3571	826083	2006
TRANSACT TECHNOLOGIES INC-06	3577	1017303	2006
RIMAGE CORP-06	3577	892482	2006
AAON INC-06	3585	824142	2006
METROLOGIC INSTRUMENTS INC-06	3577	815910	2006
PAR TECHNOLOGY CORP-06	3578	708821	2006
WAVE SYSTEMS CORP-06	3577	919013	2006
SPX CORP-06	3540	88205	2006
RSA SECURITY INC/DE/-06	3577	932064	2006
OMNICELL INC /CA/-06	3571	926326	2006
OPTIMAL GROUP INC-06	3578	1015923	2006
HARDINGE INC-06	3541	313716	2006
BUCYRUS INTERNATIONAL INC-06	3532	740761	2006
Intermec, Inc.-06	3577	1044590	2006
ALAMO GROUP INC-06	3523	897077	2006
ASTEC INDUSTRIES INC-06	3531	792987	2006
TB WOODS CORP-06	3569	1000227	2006
